1990s_빈도_1,1990s_빈도_2,1990s_빈도_3,1990s_빈도_4,1990s_빈도_5,1990s_빈도_6,1990s_빈도_7,1990s_빈도_8,1990s_빈도_9,1990s_빈도_10,2000s_빈도_1,2000s_빈도_2,2000s_빈도_3,2000s_빈도_4,2000s_빈도_5,2000s_빈도_6,2000s_빈도_7,2000s_빈도_8,2000s_빈도_9,2000s_빈도_10,2010s_빈도_1,2010s_빈도_2,2010s_빈도_3,2010s_빈도_4,2010s_빈도_5,2010s_빈도_6,2010s_빈도_7,2010s_빈도_8,2010s_빈도_9,2010s_빈도_10,2020s_빈도_1,2020s_빈도_2,2020s_빈도_3,2020s_빈도_4,2020s_빈도_5,2020s_빈도_6,2020s_빈도_7,2020s_빈도_8,2020s_빈도_9,2020s_빈도_10
"('말', 12)","('사랑', 7)","('더 가까이', 6)","('거', 4)","('포기', 2)","('이제', 1)","('얘기', 1)",0,0,0,"('날', 7)","('행복', 3)","('바보', 3)","('가슴', 2)","('그러지마', 2)","('사랑', 2)","('일밤', 2)","('전화', 2)","('목소리', 2)","('텐', 2)","('말', 5)","('필요', 4)","('작품', 4)","('어안', 3)","('주위', 2)","('늑대', 2)","('놈', 2)","('주의', 2)","('자식들', 2)","('외모', 2)",,,,,,,,,,
"('리', 8)","('이제', 3)","('아픔', 3)","('곳', 3)","('하늘', 3)","('위', 2)","('상자', 2)","('속', 2)","('처음', 2)","('눈', 2)","('사랑', 5)","('기억', 4)","('추억', 3)","('건', 3)","('날', 2)","('운명', 2)","('행복', 2)","('눈물', 2)","('하루', 2)","('말', 2)","('녹', 12)","('까탈레나', 8)","('콧대', 4)","('파', 3)","('손', 3)","('여자', 2)","('추고', 2)","('랄', 2)","('라라', 2)","('목소리', 2)",,,,,,,,,,
"('사랑', 4)","('날', 4)","('너에게', 3)","('얘기', 2)","('기회', 2)","('주위', 2)","('미', 2)","('소라', 2)","('용기', 2)","('말', 2)","('원', 20)","('속', 3)","('거', 2)","('눈빛', 2)","('눈', 2)","('미소', 2)","('가슴', 1)","('표현', 1)","('가슴속', 1)","('말', 1)","('오오', 7)","('단발머리', 7)","('투', 4)","('거', 4)","('날씨', 4)","('고민', 3)","('오늘', 3)","('날', 3)","('옷', 2)","('머리', 2)",,,,,,,,,,
"('생각', 6)","('눈', 3)","('모습', 3)","('그리움', 3)","('눈물', 3)","('건', 2)","('뿐', 2)","('가슴', 2)","('사랑', 2)","('겨울', 2)","('하루만', 3)","('품', 3)","('거', 3)","('텐', 2)","('데', 2)","('속', 2)","('장난', 2)","('마음', 2)","('부족', 2)","('곁', 2)","('말', 8)","('원', 5)","('예감', 4)","('맘', 4)","('넌', 4)","('거', 3)","('한걸음', 3)","('데', 2)","('경험', 2)","('밤', 2)",,,,,,,,,,
"('순간', 4)","('처음', 2)","('상상', 2)","('속', 2)","('가슴', 2)","('꿈', 2)","('우연', 2)","('모습', 2)","('뒤', 2)","('눈물', 2)","('말', 4)","('사랑', 4)","('눈물', 3)","('한번쯤', 2)","('내 사랑', 2)","('손', 2)","('눈', 2)","('한참', 2)","('맘', 2)","('멍', 2)","('이건', 7)","('중독', 4)","('날', 2)","('말', 2)","('사랑은', 2)","('병', 2)","('통제', 2)","('전율', 2)","('순간', 2)","('이제', 1)",,,,,,,,,,
"('사람', 4)","('행복', 4)","('이제', 3)","('추억', 2)","('세상', 2)","('너에게', 2)","('상처', 2)","('후회', 2)","('용서', 2)","('바램', 2)","('거', 15)","('날', 5)","('나나', 4)","('사랑', 3)","('채', 3)","('천사', 3)","('라라', 3)","('나라', 3)","('맘', 2)","('할거', 2)","('말', 17)","('오늘', 4)","('꿈', 4)","('고백', 4)","('눈물', 3)","('너를 사랑해', 3)","('잠도', 2)","('집', 2)","('앞', 2)","('서서', 2)",,,,,,,,,,
"('디', 72)","('기', 36)","('맘', 6)","('선물', 4)","('곁', 3)","('오늘', 3)","('기념', 3)","('자리', 3)","('마련', 3)","('백일', 3)","('숨', 3)","('자유', 3)","('들판', 3)","('파도', 3)","('구름', 3)","('곳', 3)","('하루', 2)","('하늘', 2)","('호수', 2)","('일상', 1)","('얼굴', 4)","('맘', 4)","('말', 4)","('표정', 3)","('관리', 3)","('대체', 3)","('건', 3)","('사랑', 2)","('단어', 2)","('순간', 2)",,,,,,,,,,
"('거', 7)","('모습', 4)","('마음', 4)","('세상', 2)","('예전', 2)","('준비', 2)","('맘', 2)","('속', 2)","('지금', 1)","('가운데', 1)","('사랑', 5)","('날', 4)","('말', 3)","('가슴', 3)","('넌', 2)","('웃음', 2)","('적', 2)","('너를 사랑해', 2)","('시작', 2)","('상처', 2)","('노래', 11)","('이야기', 4)","('이건', 4)","('사람', 3)","('울면', 3)","('넌', 3)","('별처럼', 3)","('가사', 3)","('너와 나', 2)","('빨래', 1)",,,,,,,,,,
"('진정', 2)","('땅', 2)","('서로', 2)","('몸', 2)","('반', 2)","('채', 2)","('현실', 2)","('치유', 2)","('아픔', 2)","('절규', 2)","('사랑', 4)","('날', 3)","('이제', 2)","('운명', 2)","('기억', 2)","('눈물', 2)","('눈', 1)","('번', 1)","('눈빛', 1)","('와도', 1)","('밤', 8)","('전', 8)","('사랑', 6)","('날', 6)","('보름달', 5)","('말', 4)","('필요', 2)","('마디', 2)","('오늘', 2)","('심장', 2)",,,,,,,,,,
"('친구', 12)","('서로', 7)","('이해', 7)","('하네', 7)","('마음', 6)","('진실', 6)","('하나로', 5)","('박', 4)","('장', 4)","('우', 2)","('행복', 3)","('내', 2)","('이름', 2)","('누', 2)","('군가', 2)","('듯', 2)","('모습', 2)","('한동안', 2)","('바', 2)","('라고', 1)","('날', 8)","('사랑', 5)","('앞', 3)","('한대', 3)","('뿐', 3)","('내 사랑', 3)","('시작', 3)","('자리', 3)","('곁', 3)","('만남', 2)",,,,,,,,,,
