1990s_빈도_1,1990s_빈도_2,1990s_빈도_3,1990s_빈도_4,1990s_빈도_5,1990s_빈도_6,1990s_빈도_7,1990s_빈도_8,1990s_빈도_9,1990s_빈도_10,2000s_빈도_1,2000s_빈도_2,2000s_빈도_3,2000s_빈도_4,2000s_빈도_5,2000s_빈도_6,2000s_빈도_7,2000s_빈도_8,2000s_빈도_9,2000s_빈도_10,2010s_빈도_1,2010s_빈도_2,2010s_빈도_3,2010s_빈도_4,2010s_빈도_5,2010s_빈도_6,2010s_빈도_7,2010s_빈도_8,2010s_빈도_9,2010s_빈도_10,2020s_빈도_1,2020s_빈도_2,2020s_빈도_3,2020s_빈도_4,2020s_빈도_5,2020s_빈도_6,2020s_빈도_7,2020s_빈도_8,2020s_빈도_9,2020s_빈도_10
"('라라', 40)","('여자', 17)","('멋', 2)","('번', 2)","('청바지', 1)","('밥', 1)","('배', 1)","('얘기', 1)","('재미', 1)","('머리', 1)","('말', 2)","('세상', 2)","('사랑', 1)","('눈물', 1)","('외면', 1)","('길목', 1)","('뒷모습', 1)","('한참', 1)","('얘기', 1)","('가슴', 1)","('여자', 5)","('남자', 5)","('뒤', 4)","('속', 4)","('겉', 3)","('잘 알지도 못하면서', 3)","('겉모습', 3)","('시선', 3)","('사랑은', 3)","('모습', 3)","('노래', 17)","('다운', 3)","('문제', 3)","('분위기', 3)","('요새', 3)","('게', 3)","('유행', 3)","('인가', 3)","('마찬가지', 3)","('블루투스', 3)"
"('생각', 2)","('대답', 2)","('너에게', 2)","('얘기', 2)","('표정', 2)","('집', 2)","('앞', 2)","('골목길', 2)","('외등', 2)","('외로움', 2)","('거', 3)","('부족', 3)","('남은', 3)","('사랑', 3)","('뿐', 2)","('그동안', 2)","('힘', 2)","('눈물', 2)","('속', 2)","('기억', 2)","('이야기', 8)","('잔소리', 6)","('말', 5)","('맘', 4)","('사랑', 4)","('소리', 3)","('너에게', 3)","('웃음', 2)","('얘기', 2)","('열', 2)","('경고', 4)","('노트', 2)","('전국', 2)","('사람', 2)","('괴물', 2)","('체', 2)","('별빛', 2)","('노래', 2)","('음', 2)","('절', 2)"
"('유리창', 4)","('밤', 4)","('낮', 3)","('저녁', 3)","('비', 3)","('기억', 3)","('이슬', 2)","('마음', 2)","('빗줄기', 2)","('맘', 2)","('나나', 24)","('맘', 6)","('날', 3)","('거', 3)","('투', 2)","('넌', 2)","('마음', 2)","('문', 2)","('허락', 2)","('갈수', 2)","('날', 7)","('말', 6)","('맘', 3)","('사랑', 3)","('집', 2)","('앞', 2)","('전화', 2)","('숨', 2)","('채', 2)","('하루', 2)","('거', 6)","('대도', 3)","('후회하지 않아', 3)","('사랑으로', 3)","('약속', 2)","('건', 2)","('영원', 2)","('행복', 2)","('품', 2)","('미소', 2)"
"('사람', 6)","('빗방울', 4)","('거리', 4)","('물감', 4)","('행복', 4)","('서서', 2)","('숨소리', 2)","('듯', 2)","('붓', 2)","('투명', 2)","('행복', 4)","('괜찮아', 4)","('걱정', 4)","('날', 3)","('떠나지마', 3)","('여자', 2)","('번', 2)","('말', 2)","('정신', 2)","('차려', 2)","('날', 5)","('밥', 4)","('눈물', 4)","('생각', 3)","('오늘', 3)","('이제', 2)","('체', 2)","('하루', 2)","('버스', 2)","('욕', 2)","('거', 6)","('집', 5)","('말', 5)","('연락', 4)","('바라', 4)","('앞', 4)","('꽃', 3)","('속', 2)","('샴푸', 2)","('향', 2)"
"('노래', 5)","('소녀', 4)","('무대', 2)","('뒤', 2)","('밖', 2)","('끝', 2)","('이제', 2)","('모습', 1)","('눈물', 1)","('의자', 1)","('오레오', 8)","('레오', 8)","('생각', 6)","('앞', 3)","('주체', 3)","('너에게', 3)","('제일', 2)","('말', 2)","('설명', 2)","('눈', 2)","('죽어도 못 보내', 6)","('거', 5)","('가슴', 4)","('수라도', 3)","('거짓말', 2)","('건', 1)","('세상', 1)","('모르진', 1)","('괜찮아', 1)","('라고', 1)","('우우', 6)","('우', 6)","('기억', 4)","('섬', 3)","('서로', 3)","('게', 2)","('오렌지', 2)","('태양', 2)","('아래', 2)","('그림자', 2)"
"('거', 5)","('눈', 4)","('사랑', 4)","('소리', 3)","('그리움', 3)","('아픔', 3)","('밤', 2)","('새벽종', 2)","('사랑은', 2)","('말', 2)","('속', 6)","('곳', 6)","('바람', 4)","('가지', 2)","('새', 2)","('가시', 2)","('노래', 2)","('날', 2)","('바램', 1)","('어둠', 1)","('Oh!', 34)","('오빠', 14)","('사랑해', 6)","('전', 3)","('아냐', 3)","('말', 3)","('두그', 2)","('진심', 2)","('바보', 2)","('뿐', 2)","('우', 7)","('엄지손가락', 3)","('장미꽃', 3)","('너에게', 3)","('송이', 3)","('네모', 2)","('칸', 2)","('향기', 2)","('비밀', 2)","('정원', 2)"
"('꿈', 23)","('내일', 6)","('세상', 4)","('말', 4)","('간직', 2)","('남', 2)","('하네', 2)","('사람', 2)","('개성', 2)","('마다', 2)","('친구', 10)","('우정', 6)","('거', 4)","('여자', 3)","('생각', 3)","('거절', 2)","('고민', 2)","('기만', 2)","('지금', 2)","('이해', 2)","('너 때문에', 7)","('생각', 4)","('눈물', 3)","('아픔', 2)","('상처', 2)","('부', 1)","('눈', 1)","('이제', 1)","('행복', 1)","('순간', 1)","('얘기', 4)","('듯', 3)","('집', 3)","('번', 3)","('걸음', 3)","('서서', 3)","('이제', 2)","('술', 2)","('한잔', 2)","('기억', 2)"
"('길', 3)","('얼굴', 2)","('모습', 2)","('속', 2)","('가슴', 2)","('소원', 2)","('표정', 2)","('포기', 2)","('우리들의', 2)","('만남', 2)","('사랑', 4)","('너에게', 3)","('처음', 3)","('날', 3)","('기쁨', 3)","('이제', 3)","('말', 3)","('세상', 2)","('행복', 2)","('이해', 2)","('살다가', 8)","('땜', 4)","('향기', 3)","('감각', 3)","('심장', 3)","('듯이', 3)","('온종일', 2)","('영혼', 2)","('오늘밤', 2)","('너에게', 1)","('테', 6)","('꿈', 5)","('선', 2)","('거', 2)","('건', 2)","('버티고', 2)","('다시 시작해', 2)","('시작', 1)","('시계', 1)","('바늘', 1)"
"('밤', 8)","('라라', 8)","('사람', 5)","('마음', 3)","('눈물', 3)","('보고싶은 얼굴', 3)","('내사랑', 2)","('쯤', 2)","('눈', 2)","('말', 2)","('세상', 4)","('추억', 3)","('뿐', 3)","('거', 2)","('하늘', 2)","('날', 2)","('사랑', 2)","('유혹', 2)","('처음', 2)","('말', 2)","('사랑', 7)","('가슴', 4)","('눈물', 4)","('멍', 3)","('순간', 3)","('뿐', 3)","('밥', 3)","('사실', 3)","('감사', 3)","('뭐', 2)","('게', 4)","('날개', 3)","('말', 3)","('하늘', 2)","('눈', 2)","(""I've"", 2)","('상처', 2)","('행복', 1)","('머리맡', 1)","('이후', 1)"
"('미싱', 7)","('꽃', 6)","('나비', 4)","('구름', 3)","('꽃밭', 2)","('피어', 2)","('담장', 2)","('위', 2)","('봄바람', 2)","('불어', 2)","('사람', 3)","('사랑', 2)","('잘못', 2)","('건', 2)","('뿐', 2)","('만나', 2)","('기전', 2)","('모습', 2)","('추억', 2)","('상처', 2)","('후회', 4)","('날', 3)","('걱정', 3)","('집착', 3)","('착각', 3)","('사람', 3)","('슬픔', 3)","('뿐', 3)","('남자', 2)","('모습', 2)","('말', 6)","('바보', 4)","('듯', 3)","('사이', 2)","('서로', 2)","('이해', 2)","('간', 2)","('대', 2)","('기운', 2)","('맘', 1)"
"('손', 4)","('생각', 3)","('눈물', 3)","('사진', 3)","('위', 3)","('건', 2)","('때문', 2)","('생활', 2)","('그리워', 2)","('전', 2)","('가니', 10)","('사랑', 8)","('날', 6)","('오오', 4)","('사랑해', 3)","('나는 어떡하라고', 3)","('이제', 3)","('진정', 3)","('사이', 2)","('하늘', 2)","('세상', 4)","('Back It Up', 3)","('Turn It Up', 3)","('행동', 2)","('심장', 1)","('소리', 1)","('뒤', 1)","('서서', 1)","('침착', 1)","('기회', 1)","('사랑', 8)","('이별', 6)","('거지', 2)","('이유', 2)","('서로', 2)","('포기', 2)","('길', 2)","('발', 2)","('이후', 2)","('바다', 2)"
"('세상', 4)","('얘기', 3)","('생각', 3)","('눈', 3)","('겨울', 3)","('웃음', 3)","('귀', 3)","('여름', 3)","('파도', 3)","('소리', 3)","('맘', 4)","('운명', 3)","('거', 3)","('대신', 3)","('이제', 3)","('건', 3)","('사랑', 2)","('눈빛', 2)","('어깨', 2)","('유인', 1)","('말', 10)","('전', 2)","('이별', 2)","('날', 2)","('순간', 2)","('하란', 2)","('거', 2)","('건', 2)","('눈물', 1)","('나기', 1)",0,0,0,0,0,0,0,0,0,0
"('마음', 4)","('미소', 3)","('날', 3)","('아침', 2)","('눈', 2)","('햇살', 2)","('곁', 2)","('건', 2)","('추억', 2)","('허탈', 2)","('속', 5)","('날개', 5)","('미래', 5)","('몸짓', 5)","('전설', 3)","('누', 3)","('군가', 3)","('적', 2)","('이제', 2)","('번', 2)","('눈', 2)","('뻔', 2)","('세상', 2)","('날', 2)","('오늘밤', 1)","('분위기', 1)","('테', 1)","('지', 1)","('음악', 1)","('소리', 1)","('날', 6)","('이유', 5)","('사랑', 4)","('마음', 3)","('행복', 3)","('곁', 3)","('게', 2)","('그대에게', 2)","('드릴', 1)","('표현', 1)"
"('찬바람', 3)","('이제', 3)","('생각', 3)","('세', 2)","('낙엽', 2)","('마음', 2)","('눈빛', 2)","('차', 2)","('건', 2)","('계절', 2)","('사람', 3)","('꺼', 3)","('날', 2)","('세상', 2)","('유일한', 2)","('후회', 2)","('테', 2)","('생각', 2)","('불안', 2)","('눈빛', 2)","('외톨이', 25)","('사랑', 9)","('사람', 4)","('밤', 4)","('말', 3)","('요즘', 2)","('넌', 2)","('가슴', 2)","('마음', 2)","('날', 2)","('피어', 6)","('사랑', 4)","('겨울', 3)","('계절', 3)","('기억', 2)","('번', 2)","('추억', 2)","('처음처럼', 2)","('눈물', 2)","('눈', 1)"
"('거리', 4)","('님', 4)","('힘', 4)","('바람', 2)","('소리', 2)","('마음', 2)","('이여', 2)","('듯', 2)","('타오', 2)","('네온', 2)","('날', 4)","('번', 3)","('곁', 2)","('맘', 2)","('부족', 2)","('가요', 2)","('이유', 2)","('외면', 2)","('사랑을 믿어요', 2)","('사랑', 2)","('날', 10)","('게', 5)","('맘', 4)","('후회', 4)","('말', 3)","('사랑', 3)","('이제', 3)","('비참', 3)","('사랑했는데', 3)","('비틀', 3)","('날', 3)","('꼴', 2)","('보란', 1)","('듯이', 1)","('바닥', 1)","('지하', 1)","('옷', 1)","('끝', 1)","('자락', 1)","('손', 1)"
"('세월', 5)","('속', 5)","('사랑은', 4)","('라고', 4)","('말', 4)","('사람', 4)","('사랑', 3)","('날', 3)","('사랑하고 있어요', 3)","('거짓', 3)","('날', 2)","('듯', 2)","('음', 2)","('번', 2)","('사랑', 2)","('말', 1)","('땜', 1)","('내사랑', 1)","('혼', 1)","('잔', 1)","('술', 7)","('법', 4)","('거', 4)","('끝', 2)","('넌', 2)","('날', 2)","('눈물', 2)","('너 때문에', 2)","('관심', 2)","('노랫말', 2)","('거', 4)","('리', 3)","('넌', 3)","('말', 2)","('게', 2)","('요즘', 2)","('무인도', 2)","('날', 2)","('생각', 2)","('얼굴', 2)"
"('사랑', 6)","('이제', 4)","('거', 4)","('날', 4)","('할거', 4)","('추억', 2)",0,0,0,0,"('마법', 5)","('파란', 4)","('하늘', 4)","('위', 4)","('융단', 4)","('속', 3)","('인생', 3)","('번', 3)","('뿐', 3)","('진짜', 3)","('말', 10)","('차고', 4)","('마음', 4)","('준비', 4)","('달', 2)","('순간', 2)","('가지', 2)","('사랑', 2)","('아니야', 2)","('두기', 1)","('발자국', 2)","('리', 2)","('쪽', 2)","('세상', 2)","('발', 2)","('감옥', 2)","('속', 2)","('장단', 1)","('잠', 1)","('눈', 1)"
"('밤', 5)","('사랑하는 사람아', 4)","('마음', 3)","('잠', 2)","('오질', 2)","('창가', 2)","('귀', 2)","('그리움', 2)","('창', 1)","('벽', 1)","('날', 7)","('눈물', 3)","('이제', 3)","('넌', 2)","('너와 나', 2)","('사랑', 2)","('기억', 2)","('추억', 2)","('하루', 2)","('세상', 2)","('말', 5)","('꿈', 5)","('손', 3)","('세상', 3)","('텐', 3)","('데', 3)","('목소리', 3)","('Tik Tok', 2)","('사랑', 2)","('하루만', 2)","('밤', 6)","('속', 5)","('날', 5)","('넌', 5)","('맘', 4)","('바람', 4)","('빛', 4)","('세상', 3)","('모습', 3)","('곁', 3)"
"('날', 6)","('슬픔', 6)","('마음', 4)","('세상', 4)","('사랑이란', 3)","('사랑', 3)","('영원', 3)","('기쁨', 3)","('잠', 3)","('이제', 2)","('아무것', 4)","('게', 4)","('넌', 4)","('거', 3)","('얘기', 2)","('건', 2)","('이별', 2)","('뿐', 2)","('용서', 2)","('내일', 2)","('말', 5)","('날', 4)","('꿈', 3)","('모습', 2)","('생각', 1)","('짧은 치마', 1)","('머리', 1)","('마음', 1)","('이제', 1)","('넌', 1)","('다운타운', 8)","('베이비', 8)","('눈', 8)","('밤하늘', 8)","('별', 8)","('꿈', 8)","('날', 3)","('집', 2)","('술', 2)","('한잔', 2)"
"('모습', 3)","('그날', 3)","('발', 2)","('이야기', 2)","('날', 2)","('열매', 2)","('영혼', 2)","('노래', 2)","('귀', 2)","('시청', 1)","('말', 8)","('날', 6)","('용기', 5)","('내야', 5)","('후회', 5)","('너에게', 5)","('고백', 5)","('거', 3)","('앞', 2)","('서면', 2)","('음악', 2)","('거', 2)","('가식', 1)","('말', 1)","('속', 1)","('Bang Bang', 1)","('가슴', 1)","('밤', 1)","('맘', 1)","('눈길', 1)","('마리아', 12)","('말', 10)","('밤', 3)","('떡', 2)","('미움', 2)","('힘', 2)","('길', 2)","('지', 2)","('끈', 2)","('욕', 1)"
"('사람', 11)","('미련', 5)","('아픔', 5)","('사랑', 4)","('마음', 4)","('때문', 3)","('내', 3)","('가슴', 3)","('간', 3)","('슬픈 음악', 2)","('곳', 3)","('소식', 3)","('이제', 2)","('사랑', 2)","('마지막', 2)","('사람', 2)","('우', 2)","('눈물', 1)","('모습', 1)","('남지', 1)","('넌', 12)","('날', 6)","('매너', 3)","('남자', 3)","('관심', 3)","('여자', 2)","('사랑', 1)","('호기심', 1)","('땜', 1)","('거', 1)","('가사', 4)","('날', 4)","('말', 3)","('대체', 3)","('건', 3)","('병원', 3)","('넌', 2)","('하루', 2)","('문', 2)","('상처', 2)"
"('이제', 3)","('사랑', 3)","('이별', 3)","('마지막', 2)","('모습', 2)","('후회', 2)","('세월', 2)","('아쉬움', 2)","('그리워', 1)","('빈자리', 1)","('이제', 6)","('날', 3)","('내 사랑', 3)","('그대에게', 3)","('사랑', 3)","('속', 3)","('꺼', 3)","('손', 2)","('채', 2)","('땜', 2)","('나나', 44)","('기본', 6)","('사랑', 5)","('사람', 4)","('언니', 3)","('공식', 3)","('이별공식', 3)","('떡', 2)","('말', 2)","('감정', 2)","('날', 6)","('순간', 6)","('눈빛', 3)","('하나로', 2)","('말', 2)","('송이', 2)","('꽃', 2)","('피고', 2)","('햇살', 2)","('생각', 1)"
"('나나', 16)","('마음', 9)","('사랑', 7)","('거', 6)","('그릴', 5)","('너에게', 3)","('눈물', 2)","('넌', 2)","('내 사랑', 2)","('향기', 2)","('날', 4)","('하루', 2)","('사랑해요', 2)","('사랑', 2)","('앞', 2)","('오늘', 1)","('어제', 1)","('전화', 1)","('수화기', 1)","('밤', 1)","('듯', 4)","('말', 4)","('비밀', 4)","('Secret Time', 4)","('신비', 3)","('매력', 2)","('조명', 1)","('아래', 1)","('음악', 1)","('소리', 1)","('바닷가', 6)","('너와 나', 4)","('이제', 4)","('속', 3)","('지난여름', 3)","('파도', 3)","('노래', 3)","('꿈', 3)","('말', 3)","('빛나', 3)"
"('기약', 4)","('이별', 4)","('뒤', 4)","('추억', 4)","('서러움', 4)","('내', 3)","('가슴', 3)","('눈물', 3)","('속', 2)","('모습', 2)","('거', 5)","('넌', 3)","('날', 2)","('미련', 2)","('번', 2)","('인해', 2)","('테', 2)","('사랑', 2)","('처음', 1)","('제라', 1)","('이제', 7)","('생각', 4)","('눈치', 2)","('위', 2)","('고민', 2)","('신경', 1)","('하늘', 1)","('걱정', 1)","('말', 1)","('날', 1)","('물보라', 12)","('뒤', 3)","('오늘', 2)","('맘', 2)","('방심', 2)","('타이밍', 1)","('날', 1)","('머리', 1)","('엉망', 1)","('데', 1)"
"('모습', 12)","('보고', 12)","('파', 12)","('밤', 10)","('가야', 6)","('꿈', 5)","('생각', 4)","('넌', 3)","('이제', 2)","('서로', 2)","('사랑', 3)","('그러지마', 2)","('넌', 2)","('눈', 1)","('내', 1)","('모습', 1)","('목소리', 1)","('깨', 1)","('아침', 1)","('이제', 1)","('땜', 12)","('가슴', 8)","('날', 7)","('생각', 6)","('몸', 5)","('말', 4)","('고백', 3)","('눈', 2)","('짝사랑', 2)","('용기', 2)","('사랑', 7)","('처음', 5)","('그날', 5)","('속', 3)","('눈물', 2)","('사진', 1)","('일월', 1)","('그날 이후', 1)","('순간', 1)","('오늘', 1)"
"('모진', 2)","('말', 2)","('멍', 2)","('방황', 2)","('눈', 2)","('너에게로 또다시', 2)","('날', 2)","('짙은', 1)","('어둠', 1)","('마음', 1)","('세상', 8)","('모습', 8)","('사랑', 6)","('날', 5)","('행복', 4)","('넌', 4)","('반은', 4)","('남자', 4)","('생각', 2)","('곁', 2)","('시작', 4)","('본능', 3)","('인지', 3)","('사랑', 3)","('밤', 3)","('사람', 2)","('순간', 2)","('생', 2)","('최고의 사랑', 2)","('미친 사랑', 2)","('안녕', 5)","('말', 3)","('거', 3)","('이제', 2)","('마음', 2)","('사랑', 2)","('을해', 1)","('뒤', 1)","('채', 1)","('하룻밤', 1)"
"('바다', 12)","('사랑', 4)","('미', 3)","('소라', 3)","('사람', 2)","('미소', 2)","('그리워', 2)","('마음', 2)","('곳', 2)","('한가지', 1)","('말', 6)","('곳', 5)","('넌', 3)","('모습', 2)","('맘', 2)","('위해', 1)","('진', 1)","('예전', 1)","('이제', 1)","('눈물', 1)","('땡', 10)","('땡땡', 10)","('더', 6)","('더더', 6)","('종', 4)","('오늘', 4)","('하루', 4)","('목이', 3)","('큰일', 3)","('괴물', 3)","('듯', 3)","('아픔', 2)","('기억', 2)","('꿈', 2)","('한참', 2)","('간직', 2)","('채', 2)","('세상', 2)","('앞', 2)","('이제', 2)"
"('바람', 3)","('창살', 3)","('아래', 3)","('곳', 3)","('세상', 2)","('어머님', 1)","('눈물', 1)","('가슴속', 1)","('민중', 1)","('넋', 1)","('어제', 3)","('오늘', 3)","('듯이', 3)","('이유', 3)","('이별', 3)","('처음처럼', 3)","('얘기', 2)","('가슴속', 2)","('영원', 2)","('말', 1)","('사랑해', 6)","('빛', 6)","('투명', 6)","('세상', 4)","('하늘', 4)","('사람', 4)","('내 사랑', 4)","('건', 3)","('맘', 3)","('사랑', 3)","('오늘', 4)","('고백', 3)","('거', 3)","('말', 3)","('취기', 2)","('너에게', 2)","('하루하루', 2)","('애', 2)","('표현', 2)","('문자', 2)"
"('내일', 5)","('얘기', 5)","('하늘', 4)","('너머', 3)","('어제', 3)","('발', 2)","('노을', 1)","('지', 1)","('잡지', 1)","('추억', 1)","('사랑은', 4)","('사람', 3)","('말', 3)","('사랑', 3)","('연인', 2)","('마음', 2)","('번', 2)","('마지막', 2)","('거', 2)","('호흡', 1)","('말', 21)","('날', 12)","('달', 8)","('잘못했어', 4)","('잘못', 3)","('곁', 3)","('속', 3)","('얘기', 2)","('척', 2)","('근대', 2)","('숨', 3)","('이 노래', 3)","('사랑', 2)","('듯', 2)","('뒤', 2)","('밤', 2)","('누', 1)","('군가', 1)","('기도', 1)","('시가', 1)"
"('크리스마스', 4)","('소리', 3)","('눈', 3)","('파도', 2)","('갈매기', 2)","('바닷', 2)","('바람', 2)","('가슴', 2)","('여름', 2)","('기억', 2)","('사랑', 5)","('거', 4)","('거짓', 3)","('세상', 3)","('날', 2)","('제정신', 1)","('아니야', 1)","('다', 1)","('욕', 1)","('넌', 1)","('떡', 12)","('손', 4)","('사랑해', 4)","('순간', 3)","('몸', 3)","('날', 3)","('숨결', 3)","('거', 2)","('생각', 2)","('눈빛', 2)","('머리', 12)","('어깨', 8)","('무릎', 8)","('코', 4)","('티', 4)","('떡', 4)","('진', 4)","('삐삐', 3)","('논란', 3)","('신경', 3)"
"('바다', 8)","('두비', 8)","('다', 6)","('바', 4)","('옛사람', 3)","('존대말', 3)","('반말', 3)","('얘기', 3)","('한동안', 2)","('길가', 2)","('사랑', 5)","('날', 4)","('사람', 4)","('이제', 2)","('방', 1)","('도시', 1)","('속', 1)","('아무것', 1)","('파란', 1)","('하늘', 1)","('사랑', 8)","('맘', 7)","('너와 나', 6)","('날', 4)","('말', 4)","('This Love', 3)","('모습', 2)","('가지', 2)","('시작', 2)","('처음', 1)","('말', 5)","('게', 3)","('날', 2)","('준비', 1)","('아파서', 1)","('이제', 1)","('욕심', 1)","('인가', 1)","('바', 1)","('서로', 1)"
"('사랑했나봐', 8)","('사랑', 4)","('눈앞', 3)","('어둠', 3)","('목소리', 2)","('얘기', 2)","('마음', 2)","('모습', 2)","('외면', 2)","('대만', 2)","('오오', 16)","('사랑', 4)","('여자', 4)","('정', 2)","('바', 2)","('마지막', 2)","('뿐', 2)","('날', 2)","('사실', 1)","('떡', 1)","('하늘', 7)","('내 사랑', 4)","('별이', 4)","('맘', 3)","('곳', 3)","('사랑', 3)","('눈물', 3)","('With You', 2)","('기억', 2)","('말', 1)","('사람', 12)","('고운', 4)","('소개', 3)","('사랑', 3)","('눈', 3)","('한번쯤', 2)","('실연', 2)","('품', 2)","('위로', 2)","('거', 2)"
"('세상', 2)","('처음', 1)","('거', 1)","('뿐', 1)","('사랑', 1)","('이유', 1)","('터널', 1)","('아픔', 1)","('오늘', 1)","('마음', 1)","('게', 6)","('내 사랑', 4)","('간직', 4)","('행복', 3)","('이제', 3)","('눈물', 3)","('듯이', 2)","('준비', 2)","('사랑', 2)","('눈', 2)","('집', 4)","('앞', 4)","('너에게', 4)","('처음', 4)","('날', 3)","('게', 2)","('전화', 2)","('빌어', 2)","('용서', 2)","('소용', 2)","('속', 3)","('너에게', 3)","('마음', 2)","('사랑', 2)","('뒤', 2)","('말', 1)","('표현', 1)","('감정', 1)","('계절', 1)","('거리', 1)"
"('사랑', 9)","('그날', 8)","('기억', 8)","('이제', 3)","('하네', 3)","('별', 2)","('밤', 2)","('창가', 2)","('얼굴', 2)","('채', 1)","('건', 4)","('얘기', 4)","('라면', 4)","('마음', 3)","('사랑', 2)","('바보', 2)","('변한', 2)","('넌', 2)","('거', 2)","('이별', 2)","('넌', 9)","('말', 5)","('화살', 4)","('여자', 3)","('너 때문에', 3)","('마음', 3)","('갑옷', 3)","('이제', 3)","('독', 3)","('배', 3)","('보고 싶다', 15)","('겨울', 6)","('봄날', 3)","('밤', 3)","('끝', 3)","('말', 2)","('눈', 2)","('먼지', 2)","('눈꽃', 2)","('꽃', 2)"
"('인형', 6)","('마음', 3)","('디아', 3)","('외로움', 3)","('비', 2)","('어둠', 1)","('불빛', 1)","('거리', 1)","('잠', 1)","('이드', 1)","('서방', 6)","('잘못', 4)","('소녀', 3)","('처음', 3)","('거', 3)","('말', 2)","('눈', 2)","('용서', 2)","('날', 2)","('걱정', 1)","('사랑', 5)","('건', 4)","('가요', 4)","('말', 4)","('맘', 3)","('속', 3)","('생각', 3)","('신발', 1)","('신고', 1)","('길', 1)","('소리', 7)","('심장', 3)","('듯', 3)","('귓가', 2)","('빛', 2)","('침묵', 2)","('바다', 2)","('길', 2)","('발목', 2)","('홀린', 2)"
"('사람', 6)","('이제', 4)","('가슴', 4)","('나이', 2)","('그리움', 2)","('사랑', 2)","('상심', 2)","('시리', 2)","('기억', 2)",0,"('사랑', 4)","('사랑해', 4)","('속', 4)","('행복', 3)","('가슴', 3)","('천국', 3)","('투명', 2)","('밤', 2)","('라디오', 2)","('에선', 2)","('루', 24)","('가슴', 5)","('말', 5)","('먼지가 되어', 3)","('사랑', 3)","('빗물', 3)","('비', 2)","('한참', 1)","('자리', 1)","('입술', 1)","('비', 3)","('땀', 3)","('곳', 3)","('사람', 3)","('통', 2)","('태양', 2)","('방법', 2)","('차', 2)","('서울', 2)","('열기', 2)"
"('말', 10)","('마음', 6)","('사랑', 3)","('어젯', 2)","('밤', 2)","('맹세', 2)","('번', 2)","('뿐', 2)","('날', 2)","('위', 2)","('약속', 4)","('말', 3)","('기억', 2)","('날', 2)","('거란', 2)","('앞으로', 2)","('이제', 2)","('세상', 2)","('사람', 2)","('거', 2)","('아무것', 5)","('너 때문에', 3)","('눈', 2)","('넌', 2)","('날', 2)","('텐', 2)","('데', 2)","('꿈', 2)","('몸', 1)","('간', 1)","('손', 6)","('날씨', 4)","('위', 4)","('날개', 4)","('맘', 4)","('자유', 3)","('거', 3)","('사랑', 2)","('건', 2)","('가요', 2)"
"('로라', 14)","('곳', 3)","('미소', 2)","('눈앞', 2)","('아르', 2)","('말', 2)","('사랑', 2)","('이별', 2)","('세상', 1)","('얼굴', 1)","('거', 7)","('사랑', 6)","('날', 5)","('오늘', 4)","('거리', 4)","('대만', 4)","('원', 4)","('말', 3)","('세상', 2)","('곳', 2)","('사람', 10)","('뿐', 8)","('사랑', 5)","('사랑은', 3)","('가슴', 2)","('안녕', 2)","('말', 2)","('떡', 2)","('삶', 2)","('쉼표', 2)","('맘', 5)","('마음', 2)","('길', 2)","('눈', 2)","('기억', 2)","('곁', 2)","('앞', 1)","('어깨', 1)","('때문', 1)","('하늘', 1)"
"('사랑으로', 5)","('곳', 5)","('손', 5)","('라라', 5)","('가슴', 4)","('우리들의', 4)","('밀어', 4)","('바람', 2)","('벌판', 2)","('솔잎', 2)","('사랑', 6)","('속', 4)","('얘기', 2)","('번', 2)","('오늘', 2)","('행복', 2)","('눈빛', 2)","('마음', 2)","('느낌', 2)","('거', 2)","('번', 5)","('생각', 4)","('곁', 4)","('아무리 미워도', 2)","('기억', 2)","('사랑', 2)","('날', 1)","('투정', 1)","('말', 1)","('다툼', 1)","('누나', 16)","('눈', 8)","('난나', 8)","('누', 4)","('누누', 4)","('나나', 4)","('노', 2)","('카노', 2)","('원', 1)","('유난', 1)"
"('속', 6)","('사랑', 3)","('불빛', 3)","('곳', 3)","('모습', 2)","('곁', 2)","('사진', 2)","('미소', 2)","('눈길', 2)","('눈빛', 2)","('나나', 54)","('세상', 5)","('친구', 4)","('날', 3)","('말', 3)","('래퍼', 2)","('DJ DOC', 2)","('애', 2)","('여자', 2)","('애인', 2)","('사랑해', 6)","('방울', 6)","('멍', 6)","('때려', 6)","('물', 6)","('이제', 4)","('가시', 3)","('몸', 3)","('거지', 3)","('말', 3)","('말', 4)","('뿐', 3)","('세상', 3)","('길', 3)","('삶', 2)","('테', 2)","('세', 2)","('돌덩이', 2)","('번', 2)","('정해진', 1)"
"('모습', 4)","('속', 4)","('꿈', 4)","('사랑', 4)","('희망', 3)","('바다', 2)","('마음속', 2)","('너에게', 2)","('말', 2)","('꺼', 2)","('산', 3)","('언저리', 3)","('목소리', 3)","('가슴', 3)","('하늘', 2)","('구름', 1)","('나라', 1)","('창문', 1)","('하루', 1)","('종일', 1)","('여자', 6)","('몸매', 3)","('날', 2)","('척', 2)","('말', 2)","('사람', 2)","('앞', 2)","('생각', 1)","('말투', 1)","('애', 1)","('노래', 5)","('전', 4)","('거리', 4)","('사랑', 4)","('한번쯤', 3)","('모습', 3)","('발걸음', 2)","('날', 2)","('곳', 1)","('한번', 1)"
